Banco;Sector;Entidad Responsable;Bpin;Nombre Proyecto;Estado;Horizonte;Valor Total;Localizaciones
Territorio;Transporte;Puerto Triunfo,Antioquia;202500000011064;Construcción ,Mejoramiento Y Mantenimiento De La Infraestructura Vial Del Municipio De  Puerto Triunfo;Viable;2025 - 2027;1509000000,00;1
Territorio;Tecnologías De La Información Y Las Comunicaciones;Puerto Triunfo,Antioquia;202500000011059;Fortalecimiento De  Los Programas De Gobierno Digital, Sistemas De Información Y Seguridad Informática Con El Fin De Promover Los Espacios De Interacción Con La Comunidad En El Municipio De Puerto Triunfo,  Antioquia;Viable;2025 - 2025;64333332,00;1
Territorio;Deporte Y Recreación;Murindó,Antioquia;202500000011044;Estudio Y Diseño Del Coliseo Urbano En El Municipio De  Murindó;En Ejecución;2025 - 2025;57844587,00;1
Territorio;Gobierno Territorial;Murindó,Antioquia;202500000011035;Formulación , Aprobación E Implementación De Políticas Públicas Y Planes Sectoriales Para El Municipio De  Murindó;En Ejecución;2025 - 2025;300000000,00;1
Territorio;Inclusión Social Y Reconciliación;Murindó,Antioquia;202500000011029;Construcción Y Dotación De Un Comedor Comunitario Para Poblaciones Vulnerables Del  Murindó;En Ejecución;2025 - 2025;868104085,00;1
Territorio;Gobierno Territorial;Concordia,Antioquia;202500000010912;Fortalecimiento  De La Comisaría De Familia Del Municipio De  Concordia;En Ejecución;2025 - 2025;50000000,00;1
Territorio;Agricultura Y Desarrollo Rural;Concordia,Antioquia;202500000010904;Mejoramiento  De Procesos Agropecuarios En El Municipio De  Concordia;En Ejecución;2025 - 2025;31000000,00;1
Territorio;Deporte Y Recreación;Concordia,Antioquia;202500000010895;Desarrollo De Estrategias Para El Fomento De Practicas Deportivas Y Recreativas En El Municipio De  Concordia;En Ejecución;2025 - 2025;410000000,00;1
Territorio;Justicia Y Del Derecho;Concordia,Antioquia;202500000010884;Implementación De Estrategias Convivencia Ciudadana Y Resolución De Conflictos En El Municipio De  Concordia;En Ejecución;2025 - 2025;10000000,00;1
Territorio;Vivienda, Ciudad Y Territorio;Concordia,Antioquia;202500000010878;Desarrollo De Estrategias Para El Acceso A Servicios De Agua Potable Y Saneamiento Básico En El Municipio De  Concordia;En Ejecución;2025 - 2025;2398061266,00;1
Territorio;Transporte;Concordia,Antioquia;202500000010869;Implementación  De Políticas De Seguridad Vial En El Municipio De  Concordia;En Ejecución;2025 - 2025;101000000,00;1
